domainID,siteID,horizontalPosition.HOR,verticalPosition.VER,sensorDepth,startDateTime,endDateTime
D01,BART,001,501,-0.06,2010-01-01T00:00:00Z,NA
D01,BART,001,502,-0.16,2010-01-01T00:00:00Z,NA
D01,BART,001,503,-0.26,2010-01-01T00:00:00Z,NA
D01,BART,001,504,-0.56,2010-01-01T00:00:00Z,NA
D01,BART,001,505,-0.96,2010-01-01T00:00:00Z,NA
D01,BART,001,506,-1.16,2010-01-01T00:00:00Z,NA
D01,BART,001,507,-1.66,2010-01-01T00:00:00Z,NA
D01,BART,001,508,-1.96,2010-01-01T00:00:00Z,NA
D01,BART,002,501,-0.06,2010-01-01T00:00:00Z,NA
D01,BART,002,502,-0.16,2010-01-01T00:00:00Z,NA
D01,BART,002,503,-0.26,2010-01-01T00:00:00Z,NA
D01,BART,002,504,-0.56,2010-01-01T00:00:00Z,NA
D01,BART,002,505,-0.96,2010-01-01T00:00:00Z,NA
D01,BART,002,506,-1.16,2010-01-01T00:00:00Z,NA
D01,BART,002,507,-1.66,2010-01-01T00:00:00Z,NA
D01,BART,002,508,-1.96,2010-01-01T00:00:00Z,NA
D01,BART,003,501,-0.056,2010-01-01T00:00:00Z,NA
D01,BART,003,502,-0.156,2010-01-01T00:00:00Z,NA
D01,BART,003,503,-0.256,2010-01-01T00:00:00Z,NA
D01,BART,003,504,-0.556,2010-01-01T00:00:00Z,NA
D01,BART,003,505,-0.956,2010-01-01T00:00:00Z,NA
D01,BART,003,506,-1.156,2010-01-01T00:00:00Z,NA
D01,BART,003,507,-1.656,2010-01-01T00:00:00Z,NA
D01,BART,003,508,-1.956,2010-01-01T00:00:00Z,NA
D01,BART,004,501,-0.057,2010-01-01T00:00:00Z,NA
D01,BART,004,502,-0.157,2010-01-01T00:00:00Z,NA
D01,BART,004,503,-0.257,2010-01-01T00:00:00Z,NA
D01,BART,004,504,-0.557,2010-01-01T00:00:00Z,NA
D01,BART,004,505,-0.957,2010-01-01T00:00:00Z,NA
D01,BART,004,506,-1.157,2010-01-01T00:00:00Z,NA
D01,BART,004,507,-1.657,2010-01-01T00:00:00Z,NA
D01,BART,004,508,-1.957,2010-01-01T00:00:00Z,NA
D01,BART,005,501,-0.06,2010-01-01T00:00:00Z,NA
D01,BART,005,502,-0.16,2010-01-01T00:00:00Z,NA
D01,BART,005,503,-0.26,2010-01-01T00:00:00Z,NA
D01,BART,005,504,-0.56,2010-01-01T00:00:00Z,NA
D01,BART,005,505,-0.96,2010-01-01T00:00:00Z,NA
D01,BART,005,506,-1.16,2010-01-01T00:00:00Z,NA
D01,BART,005,507,-1.66,2010-01-01T00:00:00Z,NA
D01,BART,005,508,-1.86,2019-10-01T00:00:00Z,NA
D01,BART,005,508,-1.96,2010-01-01T00:00:00Z,2019-10-01T00:00:00Z
D01,HARV,001,501,-0.06,2010-01-01T00:00:00Z,NA
D01,HARV,001,502,-0.16,2010-01-01T00:00:00Z,NA
D01,HARV,001,503,-0.26,2010-01-01T00:00:00Z,NA
D01,HARV,001,504,-0.46,2010-01-01T00:00:00Z,NA
D01,HARV,001,505,NA,2010-01-01T00:00:00Z,NA
D01,HARV,001,506,NA,2010-01-01T00:00:00Z,NA
D01,HARV,001,507,NA,2010-01-01T00:00:00Z,NA
D01,HARV,001,508,NA,2010-01-01T00:00:00Z,NA
D01,HARV,002,501,-0.06,2010-01-01T00:00:00Z,NA
D01,HARV,002,502,-0.16,2010-01-01T00:00:00Z,NA
D01,HARV,002,503,-0.26,2010-01-01T00:00:00Z,NA
D01,HARV,002,504,-0.36,2010-01-01T00:00:00Z,NA
D01,HARV,002,505,-0.46,2010-01-01T00:00:00Z,NA
D01,HARV,002,506,-0.66,2010-01-01T00:00:00Z,NA
D01,HARV,002,507,NA,2010-01-01T00:00:00Z,NA
D01,HARV,002,508,NA,2010-01-01T00:00:00Z,NA
D01,HARV,003,501,-0.07,2010-01-01T00:00:00Z,NA
D01,HARV,003,502,-0.17,2010-01-01T00:00:00Z,NA
D01,HARV,003,503,-0.27,2010-01-01T00:00:00Z,NA
D01,HARV,003,504,-0.37,2010-01-01T00:00:00Z,NA
D01,HARV,003,505,-0.47,2010-01-01T00:00:00Z,NA
D01,HARV,003,506,-0.57,2010-01-01T00:00:00Z,NA
D01,HARV,003,507,NA,2010-01-01T00:00:00Z,NA
D01,HARV,003,508,NA,2010-01-01T00:00:00Z,NA
